id,name,description
1,Alimentos y Bebidas,Alimentos y Bebidas
2,Automotriz y Motocicletas,Automotriz y Motocicletas
3,Bebé,Bebé
4,Bebé,Bebé
5,Deportes y Aire libre,Deportes y Aire libre
6,Electrónicos,Electrónicos
7,Herramientas y Mejoras del Hogar,Herramientas y Mejoras del Hogar
8,Hogar y Cocina,Hogar y Cocina
9,"Industria, Empresas y Ciencia","Industria, Empresas y Ciencia"
10,Jardín,Jardín
11,Juguetes y Juegos,Juguetes y Juegos
12,Libros,Libros
13,Música,Música
14,Oficina y Papelería,Oficina y Papelería
15,Productos para Animales,Productos para Animales
16,"Ropa, Zapatos y Accesorios","Ropa, Zapatos y Accesorios"
17,Salud y Cuidado Personal,Salud y Cuidado Personal
18,Videojuegos,Videojuegos
