id,name,description
1,Animales y Mascotas,Animales y Mascotas
2,Automotriz,Automotriz
3,"Calzado, Ropa y Accesorios","Calzado, Ropa y Accesorios"
4,Celulares y Telefonía,Celulares y Telefonía
5,Consolas y videojuegos,Consolas y videojuegos
6,Deportes y Aire Libre,Deportes y Aire Libre
7,Electrónica,Electrónica
8,Herramientas y Mejoras para el Hogar,Herramientas y Mejoras para el Hogar
9,Hogar y Jardín,Hogar y Jardín
10,Industrias y Oficinas,Industrias y Oficinas
11,Instrumentos Musicales,Instrumentos Musicales
12,Juguetes,Juguetes
13,"Libros, Revistas y Comics","Libros, Revistas y Comics"
14,Productos Para Bebés y Niños Pequeños,Productos Para Bebés y Niños Pequeños
15,"Relojes, Lentes y Joyeria","Relojes, Lentes y Joyeria"
16,"Salud, Belleza y Cuidado Personal","Salud, Belleza y Cuidado Personal"
