id,name,description
1,Alimentos y Bebidas,Alimentos y Bebidas
2,Automotriz y Ferretería,Automotriz y Ferretería
3,Bebés y juguetes,Bebés y juguetes
4,Belleza y Cuidado Personal,Belleza y Cuidado Personal
5,Calzado,Calzado
6,Colchones y Boxes,Colchones y Boxes
7,Cómputo,Cómputo
8,Deportes,Deportes
9,Electrónica,Electrónica
10,Hogar,Hogar
11,Línea blanca,Línea blanca
12,Mascotas,Mascotas
13,Moda y accesorios,Moda y accesorios
14,Motos,Motos
15,Muebles,Muebles
16,"Películas, música y libros","Películas, música y libros"
17,Ropa,Ropa
18,Salud y Equipamiento Médico,Salud y Equipamiento Médico
19,Telefonía,Telefonía
20,Viajes,Viajes
21,Videojuegos,Videojuegos
