id,name,description
1,Accesorios Personales,Accesorios Personales
2,Alimentos/Bebidas/Tabaco,Alimentos/Bebidas/Tabaco
3,Automotriz,Automotriz
4,Calzado,Calzado
5,Cocina,Cocina
6,Cuidado Personal,Cuidado Personal
7,Decoracion,Decoracion
8,Deportes,Deportes
9,Ferreteria,Ferreteria
10,Hogar,Hogar
11,Impresos/Textos/Material Referencia,Impresos/Textos/Material Referencia
12,Instrumentos Musicales,Instrumentos Musicales
13,Jardin/Jardineria,Jardin/Jardineria
14,Juguetes/Juegos,Juguetes/Juegos
15,Mascota,Mascota
16,Muebles,Muebles
17,Regalo C/Compra,Regalo C/Compra
18,Ropa,Ropa
19,Servicios,Servicios
20,Suministros Oficina,Suministros Oficina
21,Tecnologia,Tecnologia
