id,name,description
1,Accesorios de Moda,Accesorios de Moda
2,Alimentos y Bebidas,Alimentos y Bebidas
3,Audio,Audio
4,Automóviles,Automóviles
5,Belleza,Belleza
6,"Billetes, Cupones y Servicios","Billetes, Cupones y Servicios"
7,Bolsas de Hombre,Bolsas de Hombre
8,Bolsas de Mujer,Bolsas de Mujer
9,Calzado de Hombre,Calzado de Hombre
10,Calzado de Mujer,Calzado de Mujer
11,Cámaras y Drones,Cámaras y Drones
12,Celulares y Gadgets,Celulares y Gadgets
13,Computadoras y Accesorios,Computadoras y Accesorios
14,Deportes y Aire Libre,Deportes y Aire Libre
15,Electrodomésticos,Electrodomésticos
16,Gaming y Consolas,Gaming y Consolas
17,Hobbies y Colecciones,Hobbies y Colecciones
18,Hogar y Vida,Hogar y Vida
19,Libros y Revistas,Libros y Revistas
20,Madre y Bebé,Madre y Bebé
21,Mascotas,Mascotas
22,Moda para Bebés y Niños,Moda para Bebés y Niños
23,Motocicletas,Motocicletas
24,Papelería,Papelería
25,Relojes,Relojes
26,Ropa de Hombre,Ropa de Hombre
27,Ropa de Mujer,Ropa de Mujer
28,Salud,Salud
29,Viajes y Equipaje,Viajes y Equipaje
