id,name,description
1,Alimentos y Bebidas,Alimentos y Bebidas
2,Arte Y Manualidades,Arte Y Manualidades
3,Autos,Autos
4,Bebés,Bebés
5,Deportes,Deportes
6,Electrónica,Electrónica
7,Ferretería,Ferretería
8,Fotografía,Fotografía
9,Hogar,Hogar
10,Instrumentos Musicales,Instrumentos Musicales
11,Joyería,Joyería
12,Juguetes,Juguetes
13,"Libros y Revistas, Películas y Series","Libros y Revistas, Películas y Series"
14,"Limpieza, Seguridad Y Otros","Limpieza, Seguridad Y Otros"
15,Mascotas,Mascotas
16,Muebles,Muebles
17,Oficina y Papelería,Oficina y Papelería
18,Patio Y Jardín,Patio Y Jardín
19,Portadores y Accesorios,Portadores y Accesorios
20,Relojes,Relojes
21,Ropa,Ropa
22,Salud Y Belleza,Salud Y Belleza
23,Temporada,Temporada
24,Zapatos,Zapatos
