id,name,description
1,Baño,Baño
2,Belleza y Salud,Belleza y Salud
3,Calentadores de Agua,Calentadores de Agua
4,Campismo,Campismo
5,Cerrajeria,Cerrajeria
6,Cocina,Cocina
7,Construccion Maquinaria y Equipo Ligero,Construccion Maquinaria y Equipo Ligero
8,Decoracion,Decoracion
9,Deportes al Aire Libre,Deportes al Aire Libre
10,Ejercicio,Ejercicio
11,Equipo Para Manejo de Carga,Equipo Para Manejo de Carga
12,Escaleras y Andamios,Escaleras y Andamios
13,Herramienta de Mano,Herramienta de Mano
14,Herramienta Especializada,Herramienta Especializada
15,Herramientas,Herramientas
16,Hogar,Hogar
17,Iluminacion,Iluminacion
18,Jardin,Jardin
19,Juegos y Juguetes,Juegos y Juguetes
20,Mascotas,Mascotas
21,Muebles y Accesorios,Muebles y Accesorios
22,Plomeria y Griferia,Plomeria y Griferia
23,Seguridad Industrial,Seguridad Industrial
24,Termos y Botellas Para Agua,Termos y Botellas Para Agua
25,Tiro Deportivo,Tiro Deportivo
