id,name,description
1,Urrea,
2,Mendoza,
3,Bostitch,
4,Neiko,
5,Urrea Tecnologia Agua,
6,Bosch,
7,FCP Americana,
8,Alba Marcel,
9,Klein Tools,
10,Surtek,
11,Goni,
12,Dewalt,
13,Stanley,
14,Black And Decker,
15,Dica,
16,Exclusivas,
17,OBI,
18,Coleman,
19,Tramontina,
20,Gearwrench,
21,Lock,
22,Bardahl,
23,Contigo,
24,Irwin,
25,Peldanos,
26,Multimport,
27,Weller,
28,Werner,
29,Noval Basculas,
30,Dremel,
31,Skil,
32,Kingsman,
33,Servicios,
34,Osram,
35,Makita,
36,SaddleBaby,
37,Namaro Design,
38,Store It,
39,Macon,
40,Shaba,
41,Doggy House,
42,Envios,
43,Sia,
44,Industrias AG,
45,Patino,
46,Plasticos Alex,
47,Brandgap,
48,Shop Vac,
49,Intex,
50,Soyoung,
51,Envios / Entregas,
52,Combos,
53,Dibatec,
54,Mode Hoist,
55,Rhino,
56,Ujueta,
57,Bosch Termotecnologia,
58,Idea Fitness,
59,Delher,
60,Gastos,
61,Avante,
62,Refacciones Stanle Black and Decker Dewalt,
63,Lanificio del Piero,
64,IUSA,
65,Redbo,
66,Gram-Bel,
67,By Pure,
68,Clean Power,
69,GASTO,
70,Crown Baccara,
71,Owgels,
72,Roux,
73,Bosch Saldos,
74,Bestway,
75,Game Power,
76,Ramati,
77,Honeywell Home,
78,Fulfillment,
79,Reacondicionado,
80,Loox,
81,Tuft,
82,Hanma,
83,Lufkin,
84,Yankon,
85,Elmers,
86,Nicholson,
87,Jacobs,
88,Campbell,
89,Toughbuilt,
90,Hyundai,
91,Husky,
92,Libbey,
93,Beeman,
94,Bergen,
95,Paqueterias,
96,Memory Foam,
97,Minelab,
98,KingsHouse,
99,KingSports,
100,ViendoTEntiendo,
101,Fiat,
102,Rork,
103,aegmex,
104,INGCO,
105,ColorHome,
106,Synergy,
107,Igoto,
