id,name,description
1,Accesorios,Accesorios
2,Animales y Mascotas,Animales y Mascotas
3,Aparatos de ejercicio,Aparatos de ejercicio
4,Audio y equipos de sonido,Audio y equipos de sonido
5,Autos,Autos
6,Aves,Aves
7,Bazar Navideño,Bazar Navideño
8,Bebés,Bebés
9,Bebidas,Bebidas
10,"Bicicletas, Triciclos y Scooters","Bicicletas, Triciclos y Scooters"
11,"Brincolines, Albercas y Plazas","Brincolines, Albercas y Plazas"
12,Cámara y Fotografía,Cámara y Fotografía
13,Carnes y Pescados,Carnes y Pescados
14,Carpintería,Carpintería
15,Celulares,Celulares
16,Cervezas,Cervezas
17,Coleccionables,Coleccionables
18,Comics y Coleccionables,Comics y Coleccionables
19,Cómputo y tabletas,Cómputo y tabletas
20,Construcción,Construcción
21,Cubrebocas,Cubrebocas
22,Cuidado personal,Cuidado personal
23,Del Refrigerador,Del Refrigerador
24,Dermatológicos,Dermatológicos
25,Despensa,Despensa
26,Dulces,Dulces
27,Electrodomésticos y Línea Blanca,Electrodomésticos y Línea Blanca
28,Equipo Médico,Equipo Médico
29,Farmacia,Farmacia
30,Farmacia Deportiva,Farmacia Deportiva
31,Ferretería,Ferretería
32,Frutas y Verduras,Frutas y Verduras
33,Gato,Gato
34,Gourmet,Gourmet
35,Herramientas,Herramientas
36,Higiene Personal y Belleza,Higiene Personal y Belleza
37,Hogar,Hogar
38,Hogar y Limpieza,Hogar y Limpieza
39,Hombres,Hombres
40,Iluminación,Iluminación
41,Instrumentos musicales,Instrumentos musicales
42,Jardinería,Jardinería
43,Joyería de Fantasía,Joyería de Fantasía
44,Joyería Fina,Joyería Fina
45,Juegos de Mesa,Juegos de Mesa
46,Juguetes,Juguetes
47,Juguetes para bebé,Juguetes para bebé
48,Lentes de Sol,Lentes de Sol
49,Libros,Libros
50,Libros de texto para escuela,Libros de texto para escuela
51,Licores,Licores
52,Limpieza,Limpieza
53,Material Eléctrico,Material Eléctrico
54,Mecánico,Mecánico
55,Medicamentos,Medicamentos
56,Mejora de Hogar,Mejora de Hogar
57,Monitoreo y Medición,Monitoreo y Medición
58,Montables,Montables
59,Motocicletas,Motocicletas
60,Muebles y accesorios para bebés,Muebles y accesorios para bebés
61,Mujeres,Mujeres
62,Muñecas y Accesorios,Muñecas y Accesorios
63,Música,Música
66,Nintendo,Nintendo
64,Niñas,Niñas
65,Niños,Niños
67,Nutrición y Suplementos,Nutrición y Suplementos
68,Oficina y Papelería,Oficina y Papelería
69,Óptica,Óptica
70,Orgánicos,Orgánicos
71,Patio y Jardín,Patio y Jardín
72,PC,PC
73,Peces,Peces
74,Películas,Películas
75,Peluches,Peluches
76,Pequeñas Mascotas,Pequeñas Mascotas
77,Perfumería y cosméticos,Perfumería y cosméticos
78,Perro,Perro
79,Playstation,Playstation
80,Plomería,Plomería
81,Por deporte,Por deporte
82,Preventa,Preventa
83,Productos de TV,Productos de TV
84,Protección médica,Protección médica
85,Relojes,Relojes
86,Reptiles,Reptiles
87,Revistas,Revistas
88,"Rompecabezas, Armables y Modelismos","Rompecabezas, Armables y Modelismos"
89,Ropa Deportiva,Ropa Deportiva
90,Ropa para Bebés,Ropa para Bebés
91,Series de TV,Series de TV
92,Suplementos Alimenticios,Suplementos Alimenticios
93,Tabacos y accesorios,Tabacos y accesorios
94,Telefonía y Comunicación,Telefonía y Comunicación
95,TV y Video,TV y Video
96,Viajes y equipaje,Viajes y equipaje
97,Vinos y Espumosos,Vinos y Espumosos
98,Vinos y Licores,Vinos y Licores
99,XBOX,XBOX
