id,name,description
1,Accesorios y repuestos para herramientas,Accesorios y repuestos para herramientas
2,Albercas estructurales,Albercas estructurales
3,Albercas inflables,Albercas inflables
4,Armas de aire comprimido,Armas de aire comprimido
5,Arneses de seguridad industriales,Arneses de seguridad industriales
6,Artículos de cocina,Artículos de cocina
7,Artículos de iluminación para el hoga,Artículos de iluminación para el hoga
8,Artículos para baño,Artículos para baño
9,Artículos para jardín y exterior,Artículos para jardín y exterior
10,Balines y diábolos,Balines y diábolos
11,"Bisagras para muebles, puertas y ventanas","Bisagras para muebles, puertas y ventanas"
12,Bolsas portaherramientas,Bolsas portaherramientas
13,Botes de basura,Botes de basura
14,Brocas,Brocas
15,Cables eléctricos,Cables eléctricos
16,Cajas de herramientas,Cajas de herramientas
17,Calzado de seguridad,Calzado de seguridad
18,Candados,Candados
19,Carretillas,Carretillas
20,Cepillos de pulido para herramientas rotativas,Cepillos de pulido para herramientas rotativas
21,Cerraduras para puertas y ventanas,Cerraduras para puertas y ventanas
22,Chalecos reflejantes,Chalecos reflejantes
23,Cintas adhesivas,Cintas adhesivas
24,Cintas antideslizantes,Cintas antideslizantes
25,Cintas métricas,Cintas métricas
26,Clavos,Clavos
27,Colchones inflables,Colchones inflables
28,Compresores de aire,Compresores de aire
29,Cutters,Cutters
30,Dados para herramientas,Dados para herramientas
31,Desarmadores manuale,Desarmadores manuale
32,Destornilladores eléctricos,Destornilladores eléctricos
33,Discos de corte y desbaste,Discos de corte y desbaste
34,Equipamiento industrial y comercia,Equipamiento industrial y comercia
35,Equipamiento para camping y pesca,Equipamiento para camping y pesca
36,Escaleras,Escaleras
37,Eslingas de remolque para vehículos,Eslingas de remolque para vehículos
38,Esmeriladoras eléctricas,Esmeriladoras eléctricas
39,Focos,Focos
40,Formones y cinceles,Formones y cinceles
41,Fresas para fresadoras,Fresas para fresadoras
42,Gabinetes para herramientas,Gabinetes para herramientas
43,Guantes de seguridad,Guantes de seguridad
44,Herramientas,Herramientas
45,Herramientas y artículos de construcción,Herramientas y artículos de construcción
46,Hidrolavadoras,Hidrolavadoras
47,Hojas de seguetas manuales,Hojas de seguetas manuales
48,Imanes industriales,Imanes industriales
49,Inflables para albercas,Inflables para albercas
50,Interruptores de luz de pared,Interruptores de luz de pared
51,Jaladeras para puertas,Jaladeras para puertas
52,Juegos de llaves de apriete,Juegos de llaves de apriete
53,Lentes de seguridad,Lentes de seguridad
54,Lijadoras,Lijadoras
55,Lijas,Lijas
56,Limas manuales,Limas manuales
57,Linternas de mano,Linternas de mano
58,Llaveros,Llaveros
59,Llaves de apriete,Llaves de apriete
60,Llaves de impacto,Llaves de impacto
61,Lupas,Lupas
62,Mangueras industriales,Mangueras industriales
63,Manteles individuales,Manteles individuales
64,Martillos demoledores eléctricos,Martillos demoledores eléctricos
65,Martillos manuales,Martillos manuales
66,Mazos para construcción,Mazos para construcción
67,Mototools,Mototools
68,Multicontactos,Multicontactos
69,Multímetros,Multímetros
70,Niveles láser,Niveles láser
71,Organizadores de herramientas,Organizadores de herramientas
72,Pinturas en aerosol,Pinturas en aerosol
73,Pinzas de corte,Pinzas de corte
74,Pinzas de presión,Pinzas de presión
75,Pinzas de punta,Pinzas de punta
76,Pinzas para anillo,Pinzas para anillo
77,Pinzas pelacables,Pinzas pelacables
78,Pinzas universales,Pinzas universales
79,Platos de vajilla,Platos de vajilla
80,Playeras,Playeras
81,Polipastos eléctricos,Polipastos eléctricos
82,Polipastos manuales,Polipastos manuales
83,Prensas sargento,Prensas sargento
84,Punzones para grabar,Punzones para grabar
85,Reflectores,Reflectores
86,Refrigeradores y bolsas térmicas,Refrigeradores y bolsas térmicas
87,Roperos,Roperos
88,Rotomartillos,Rotomartillos
89,Ruedas para carritos y muebles,Ruedas para carritos y muebles
90,Serruchos,Serruchos
91,Sierras caladoras,Sierras caladoras
92,Sierras circulares eléctricas,Sierras circulares eléctricas
93,Soldadoras,Soldadoras
94,Taladros eléctricos,Taladros eléctricos
95,Termos,Termos
96,Tiendas de campaña,Tiendas de campaña
97,Toldos para puertas y ventanas,Toldos para puertas y ventanas
98,Tornillos,Tornillos
99,Torquímetros,Torquímetros
100,Vasos y copas,Vasos y copas
